_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.name,data.avatar,data.nameColor,data.bonus,data.clicked,data.timeClick,data.imageOrder,data.scoreIncrement,data.clickLength,data.rawScore
NuweWtpWaMQZkxLkb,,,,,,2021-07-20T16:51:33Z,cancelled,adminCancelled,,,2021-07-20T16:47:26Z,,,,,,,,,,
kq9vcpqmQwbkFB4sX,,2021-07-20T16:57:59Z,2021-07-20T16:57:59Z,1,ExitSurvey,2021-07-20T17:26:05Z,finished,,,,2021-07-20T16:53:00Z,Repi,/avatars/jdenticon/Samuel,#8138A8,5.973333333333336,red_7,15645,"red_5,red_12,red_2,red_11,red_10,red_7",0.14400000000000002,3,9
XR254nXRjwrveus4M,,2021-07-20T17:00:48Z,2021-07-20T17:00:48Z,1,ExitSurvey,2021-07-20T17:39:10Z,finished,,,,2021-07-20T16:53:03Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.8320000000000025,white_2,37179,"white_11,white_12,white_2,white_1,white_7,white_4",0.13333333333333336,3,8.333333333333334
Xzwn3GeDhaYChyk6X,,2021-07-20T17:02:41Z,2021-07-20T17:02:41Z,1,ExitSurvey,2021-07-20T17:17:11Z,finished,,,,2021-07-20T16:53:09Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,5.690666666666668,purple_7,7899,"purple_9,purple_1,purple_7,purple_5,purple_4,purple_11",0.08533333333333333,3,5.333333333333333
mQ4j9jv3oBQW9zdxE,,2021-07-20T16:58:34Z,2021-07-20T16:58:34Z,1,ExitSurvey,2021-07-20T17:26:05Z,finished,,,,2021-07-20T16:53:09Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,5.973333333333336,red_2,6199,"red_12,red_2,red_11,red_7,red_10,red_5",0.14400000000000002,3,9
do6cSnx2h7oyYTyqw,,,,,,2021-07-20T17:55:42Z,cancelled,adminCancelled,,,2021-07-20T16:53:16Z,,,,,,,,,,
pgdSEje8fK2EhyEAF,,2021-07-20T16:57:35Z,2021-07-20T16:57:35Z,1,ExitSurvey,2021-07-20T17:26:05Z,finished,,,,2021-07-20T16:53:18Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,5.973333333333336,red_12,14919,"red_12,red_2,red_10,red_11,red_7,red_5",0.14400000000000002,3,9
DhC6RscrdSqABgf5k,,2021-07-20T17:21:31Z,2021-07-20T17:21:31Z,1,,2021-07-20T17:31:31Z,playerLobbyTimedOut,,2021-07-20T17:44:07Z,custom,2021-07-20T16:53:21Z,,,,,,,,,,
nzCnCnx4W9EDKLyEy,,2021-07-20T16:58:50Z,2021-07-20T16:58:50Z,1,ExitSurvey,2021-07-20T17:39:10Z,finished,,,,2021-07-20T16:53:26Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,6.8320000000000025,white_11,53163,"white_11,white_12,white_7,white_2,white_4,white_1",0.13333333333333336,3,8.333333333333334
HatzPcAxQZHJgfvTp,,2021-07-20T17:06:15Z,2021-07-20T17:06:15Z,1,ExitSurvey,2021-07-20T18:21:48Z,finished,,,,2021-07-20T16:53:45Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.773333333333335,purple_5,73077,"purple_4,purple_6,purple_5,purple_7,purple_11,purple_8",0.13333333333333336,3,8.333333333333334
