gameId,finishedAt,createdAt,color,othercolor,flowers,otherflowers,numBlocks,condition,name,playerCount,selectionDuration,rounds,feedbackDuration,numTargets,repsPerBlock,partial,scale,chatEnabled,gameLength,pilot
3S6bXnp5NWyGgmBxD,2021-08-19T19:17:17Z,2021-08-19T19:10:47Z,white,yellow,"{""label"":""white_1"",""location"":""/experiment/white_similar/image_00006.jpg""},{""label"":""white_2"",""location"":""/experiment/white_similar/image_01448.jpg""},{""label"":""white_3"",""location"":""/experiment/white_similar/image_03139.jpg""},{""label"":""white_4"",""location"":""/experiment/white_similar/image_03710.jpg""},{""label"":""white_5"",""location"":""/experiment/white_similar/image_04849.jpg""},{""label"":""white_6"",""location"":""/experiment/white_similar/image_05280.jpg""},{""label"":""white_7"",""location"":""/experiment/white_similar/image_05493.jpg""},{""label"":""white_8"",""location"":""/experiment/white_similar/image_05846.jpg""},{""label"":""white_9"",""location"":""/experiment/white_similar/image_06003.jpg""},{""label"":""white_10"",""location"":""/experiment/white_similar/image_07057.jpg""},{""label"":""white_11"",""location"":""/experiment/white_similar/image_07463.jpg""},{""label"":""white_12"",""location"":""/experiment/white_similar/image_08131.jpg""}","{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg""},{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg""},{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg""},{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg""},{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg""},{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg""},{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg""},{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg""},{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg""},{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg""},{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg""},{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg""}",4,coopMulti,CoopLangAugust,3,180,6,5,6,6,true,1.5,true,389,FALSE
7JSk79tktXw77agpS,2021-08-19T19:26:59Z,2021-08-19T19:08:11Z,red,purple,"{""label"":""red_1"",""location"":""/experiment/red_similar/image_00757.jpg""},{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg""},{""label"":""red_3"",""location"":""/experiment/red_similar/image_01973.jpg""},{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg""},{""label"":""red_5"",""location"":""/experiment/red_similar/image_02561.jpg""},{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg""},{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg""},{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg""},{""label"":""red_9"",""location"":""/experiment/red_similar/image_06787.jpg""},{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg""},{""label"":""red_11"",""location"":""/experiment/red_similar/image_07641.jpg""},{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg""}","{""label"":""purple_1"",""location"":""/experiment/purple_similar/image_00450.jpg""},{""label"":""purple_2"",""location"":""/experiment/purple_similar/image_01664.jpg""},{""label"":""purple_3"",""location"":""/experiment/purple_similar/image_03085.jpg""},{""label"":""purple_4"",""location"":""/experiment/purple_similar/image_04133.jpg""},{""label"":""purple_5"",""location"":""/experiment/purple_similar/image_04335.jpg""},{""label"":""purple_6"",""location"":""/experiment/purple_similar/image_04700.jpg""},{""label"":""purple_7"",""location"":""/experiment/purple_similar/image_05355.jpg""},{""label"":""purple_8"",""location"":""/experiment/purple_similar/image_05639.jpg""},{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg""},{""label"":""purple_10"",""location"":""/experiment/purple_similar/image_07320.jpg""},{""label"":""purple_11"",""location"":""/experiment/purple_similar/image_07517.jpg""},{""label"":""purple_12"",""location"":""/experiment/purple_similar/image_07752.jpg""}",4,coopMulti,CoopLangAugust,3,180,6,5,6,6,true,1.5,true,1127,FALSE
8dDG6frr5JfsMjmTD,2021-08-19T19:56:06Z,2021-08-19T19:29:02Z,purple,yellow,"{""label"":""purple_1"",""location"":""/experiment/purple_similar/image_00450.jpg""},{""label"":""purple_2"",""location"":""/experiment/purple_similar/image_01664.jpg""},{""label"":""purple_3"",""location"":""/experiment/purple_similar/image_03085.jpg""},{""label"":""purple_4"",""location"":""/experiment/purple_similar/image_04133.jpg""},{""label"":""purple_5"",""location"":""/experiment/purple_similar/image_04335.jpg""},{""label"":""purple_6"",""location"":""/experiment/purple_similar/image_04700.jpg""},{""label"":""purple_7"",""location"":""/experiment/purple_similar/image_05355.jpg""},{""label"":""purple_8"",""location"":""/experiment/purple_similar/image_05639.jpg""},{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg""},{""label"":""purple_10"",""location"":""/experiment/purple_similar/image_07320.jpg""},{""label"":""purple_11"",""location"":""/experiment/purple_similar/image_07517.jpg""},{""label"":""purple_12"",""location"":""/experiment/purple_similar/image_07752.jpg""}","{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg""},{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg""},{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg""},{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg""},{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg""},{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg""},{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg""},{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg""},{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg""},{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg""},{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg""},{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg""}",4,coopMulti,CoopLangAugust,3,180,6,5,6,6,true,1.5,true,1623,FALSE
B5SFfZ9rHwth8oHNn,2021-08-19T19:39:43Z,2021-08-19T19:19:24Z,red,yellow,"{""label"":""red_1"",""location"":""/experiment/red_similar/image_00757.jpg""},{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg""},{""label"":""red_3"",""location"":""/experiment/red_similar/image_01973.jpg""},{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg""},{""label"":""red_5"",""location"":""/experiment/red_similar/image_02561.jpg""},{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg""},{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg""},{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg""},{""label"":""red_9"",""location"":""/experiment/red_similar/image_06787.jpg""},{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg""},{""label"":""red_11"",""location"":""/experiment/red_similar/image_07641.jpg""},{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg""}","{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg""},{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg""},{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg""},{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg""},{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg""},{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg""},{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg""},{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg""},{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg""},{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg""},{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg""},{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg""}",4,coopMulti,CoopLangAugust,3,180,6,5,6,6,true,1.5,true,1218,FALSE
DTw5mrEvPvfyuEiGw,2021-08-19T19:37:37Z,2021-08-19T19:08:50Z,yellow,purple,"{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg""},{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg""},{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg""},{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg""},{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg""},{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg""},{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg""},{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg""},{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg""},{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg""},{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg""},{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg""}","{""label"":""purple_1"",""location"":""/experiment/purple_similar/image_00450.jpg""},{""label"":""purple_2"",""location"":""/experiment/purple_similar/image_01664.jpg""},{""label"":""purple_3"",""location"":""/experiment/purple_similar/image_03085.jpg""},{""label"":""purple_4"",""location"":""/experiment/purple_similar/image_04133.jpg""},{""label"":""purple_5"",""location"":""/experiment/purple_similar/image_04335.jpg""},{""label"":""purple_6"",""location"":""/experiment/purple_similar/image_04700.jpg""},{""label"":""purple_7"",""location"":""/experiment/purple_similar/image_05355.jpg""},{""label"":""purple_8"",""location"":""/experiment/purple_similar/image_05639.jpg""},{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg""},{""label"":""purple_10"",""location"":""/experiment/purple_similar/image_07320.jpg""},{""label"":""purple_11"",""location"":""/experiment/purple_similar/image_07517.jpg""},{""label"":""purple_12"",""location"":""/experiment/purple_similar/image_07752.jpg""}",4,coopMulti,CoopLangAugust,3,180,6,5,6,6,true,1.5,true,1726,FALSE
gaQuqy3pK43dmA63T,2021-08-19T19:34:49Z,2021-08-19T19:13:09Z,red,yellow,"{""label"":""red_1"",""location"":""/experiment/red_similar/image_00757.jpg""},{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg""},{""label"":""red_3"",""location"":""/experiment/red_similar/image_01973.jpg""},{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg""},{""label"":""red_5"",""location"":""/experiment/red_similar/image_02561.jpg""},{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg""},{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg""},{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg""},{""label"":""red_9"",""location"":""/experiment/red_similar/image_06787.jpg""},{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg""},{""label"":""red_11"",""location"":""/experiment/red_similar/image_07641.jpg""},{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg""}","{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg""},{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg""},{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg""},{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg""},{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg""},{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg""},{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg""},{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg""},{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg""},{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg""},{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg""},{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg""}",4,coopMulti,CoopLangAugust,3,180,6,5,6,6,true,1.5,true,1299,FALSE
gPR99kfXeccf8PeGF,2021-08-19T19:25:11Z,2021-08-19T19:07:11Z,purple,white,"{""label"":""purple_1"",""location"":""/experiment/purple_similar/image_00450.jpg""},{""label"":""purple_2"",""location"":""/experiment/purple_similar/image_01664.jpg""},{""label"":""purple_3"",""location"":""/experiment/purple_similar/image_03085.jpg""},{""label"":""purple_4"",""location"":""/experiment/purple_similar/image_04133.jpg""},{""label"":""purple_5"",""location"":""/experiment/purple_similar/image_04335.jpg""},{""label"":""purple_6"",""location"":""/experiment/purple_similar/image_04700.jpg""},{""label"":""purple_7"",""location"":""/experiment/purple_similar/image_05355.jpg""},{""label"":""purple_8"",""location"":""/experiment/purple_similar/image_05639.jpg""},{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg""},{""label"":""purple_10"",""location"":""/experiment/purple_similar/image_07320.jpg""},{""label"":""purple_11"",""location"":""/experiment/purple_similar/image_07517.jpg""},{""label"":""purple_12"",""location"":""/experiment/purple_similar/image_07752.jpg""}","{""label"":""white_1"",""location"":""/experiment/white_similar/image_00006.jpg""},{""label"":""white_2"",""location"":""/experiment/white_similar/image_01448.jpg""},{""label"":""white_3"",""location"":""/experiment/white_similar/image_03139.jpg""},{""label"":""white_4"",""location"":""/experiment/white_similar/image_03710.jpg""},{""label"":""white_5"",""location"":""/experiment/white_similar/image_04849.jpg""},{""label"":""white_6"",""location"":""/experiment/white_similar/image_05280.jpg""},{""label"":""white_7"",""location"":""/experiment/white_similar/image_05493.jpg""},{""label"":""white_8"",""location"":""/experiment/white_similar/image_05846.jpg""},{""label"":""white_9"",""location"":""/experiment/white_similar/image_06003.jpg""},{""label"":""white_10"",""location"":""/experiment/white_similar/image_07057.jpg""},{""label"":""white_11"",""location"":""/experiment/white_similar/image_07463.jpg""},{""label"":""white_12"",""location"":""/experiment/white_similar/image_08131.jpg""}",4,coopMulti,CoopLangAugust,3,180,6,5,6,6,true,1.5,true,1079,FALSE
KiTSXqszi96DogyRN,2021-08-19T19:12:16Z,2021-08-19T19:12:05Z,white,yellow,"{""label"":""white_1"",""location"":""/experiment/white_similar/image_00006.jpg""},{""label"":""white_2"",""location"":""/experiment/white_similar/image_01448.jpg""},{""label"":""white_3"",""location"":""/experiment/white_similar/image_03139.jpg""},{""label"":""white_4"",""location"":""/experiment/white_similar/image_03710.jpg""},{""label"":""white_5"",""location"":""/experiment/white_similar/image_04849.jpg""},{""label"":""white_6"",""location"":""/experiment/white_similar/image_05280.jpg""},{""label"":""white_7"",""location"":""/experiment/white_similar/image_05493.jpg""},{""label"":""white_8"",""location"":""/experiment/white_similar/image_05846.jpg""},{""label"":""white_9"",""location"":""/experiment/white_similar/image_06003.jpg""},{""label"":""white_10"",""location"":""/experiment/white_similar/image_07057.jpg""},{""label"":""white_11"",""location"":""/experiment/white_similar/image_07463.jpg""},{""label"":""white_12"",""location"":""/experiment/white_similar/image_08131.jpg""}","{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg""},{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg""},{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg""},{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg""},{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg""},{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg""},{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg""},{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg""},{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg""},{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg""},{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg""},{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg""}",4,coopMulti,CoopLangAugust,3,180,6,5,6,6,true,1.5,true,10,FALSE
LmhxB2Dp9tRd9dujK,2021-08-19T19:29:22Z,2021-08-19T19:17:44Z,red,purple,"{""label"":""red_1"",""location"":""/experiment/red_similar/image_00757.jpg""},{""label"":""red_2"",""location"":""/experiment/red_similar/image_01583.jpg""},{""label"":""red_3"",""location"":""/experiment/red_similar/image_01973.jpg""},{""label"":""red_4"",""location"":""/experiment/red_similar/image_02269.jpg""},{""label"":""red_5"",""location"":""/experiment/red_similar/image_02561.jpg""},{""label"":""red_6"",""location"":""/experiment/red_similar/image_03162.jpg""},{""label"":""red_7"",""location"":""/experiment/red_similar/image_04769.jpg""},{""label"":""red_8"",""location"":""/experiment/red_similar/image_06490.jpg""},{""label"":""red_9"",""location"":""/experiment/red_similar/image_06787.jpg""},{""label"":""red_10"",""location"":""/experiment/red_similar/image_06859.jpg""},{""label"":""red_11"",""location"":""/experiment/red_similar/image_07641.jpg""},{""label"":""red_12"",""location"":""/experiment/red_similar/image_07931.jpg""}","{""label"":""purple_1"",""location"":""/experiment/purple_similar/image_00450.jpg""},{""label"":""purple_2"",""location"":""/experiment/purple_similar/image_01664.jpg""},{""label"":""purple_3"",""location"":""/experiment/purple_similar/image_03085.jpg""},{""label"":""purple_4"",""location"":""/experiment/purple_similar/image_04133.jpg""},{""label"":""purple_5"",""location"":""/experiment/purple_similar/image_04335.jpg""},{""label"":""purple_6"",""location"":""/experiment/purple_similar/image_04700.jpg""},{""label"":""purple_7"",""location"":""/experiment/purple_similar/image_05355.jpg""},{""label"":""purple_8"",""location"":""/experiment/purple_similar/image_05639.jpg""},{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg""},{""label"":""purple_10"",""location"":""/experiment/purple_similar/image_07320.jpg""},{""label"":""purple_11"",""location"":""/experiment/purple_similar/image_07517.jpg""},{""label"":""purple_12"",""location"":""/experiment/purple_similar/image_07752.jpg""}",4,coopMulti,CoopLangAugust,3,180,6,5,6,6,true,1.5,true,697,FALSE
LrRSukRse3aB9xuSM,2021-08-19T19:18:04Z,2021-08-19T19:07:55Z,purple,yellow,"{""label"":""purple_1"",""location"":""/experiment/purple_similar/image_00450.jpg""},{""label"":""purple_2"",""location"":""/experiment/purple_similar/image_01664.jpg""},{""label"":""purple_3"",""location"":""/experiment/purple_similar/image_03085.jpg""},{""label"":""purple_4"",""location"":""/experiment/purple_similar/image_04133.jpg""},{""label"":""purple_5"",""location"":""/experiment/purple_similar/image_04335.jpg""},{""label"":""purple_6"",""location"":""/experiment/purple_similar/image_04700.jpg""},{""label"":""purple_7"",""location"":""/experiment/purple_similar/image_05355.jpg""},{""label"":""purple_8"",""location"":""/experiment/purple_similar/image_05639.jpg""},{""label"":""purple_9"",""location"":""/experiment/purple_similar/image_06714.jpg""},{""label"":""purple_10"",""location"":""/experiment/purple_similar/image_07320.jpg""},{""label"":""purple_11"",""location"":""/experiment/purple_similar/image_07517.jpg""},{""label"":""purple_12"",""location"":""/experiment/purple_similar/image_07752.jpg""}","{""label"":""yellow_1"",""location"":""/experiment/yellow_similar/image_01220.jpg""},{""label"":""yellow_2"",""location"":""/experiment/yellow_similar/image_01753.jpg""},{""label"":""yellow_3"",""location"":""/experiment/yellow_similar/image_02295.jpg""},{""label"":""yellow_4"",""location"":""/experiment/yellow_similar/image_03709.jpg""},{""label"":""yellow_5"",""location"":""/experiment/yellow_similar/image_04078.jpg""},{""label"":""yellow_6"",""location"":""/experiment/yellow_similar/image_04425.jpg""},{""label"":""yellow_7"",""location"":""/experiment/yellow_similar/image_04667.jpg""},{""label"":""yellow_8"",""location"":""/experiment/yellow_similar/image_04982.jpg""},{""label"":""yellow_9"",""location"":""/experiment/yellow_similar/image_05700.jpg""},{""label"":""yellow_10"",""location"":""/experiment/yellow_similar/image_06298.jpg""},{""label"":""yellow_11"",""location"":""/experiment/yellow_similar/image_06354.jpg""},{""label"":""yellow_12"",""location"":""/experiment/yellow_similar/image_06676.jpg""}",4,coopMulti,CoopLangAugust,3,180,6,5,6,6,true,1.5,true,608,FALSE
