playerId,correctness,human,workedWell,fair,chatUseful,feedback,time
ajXrM4MRpEmaP8h5S,yes,yes,neutral,Did not get a chance to play - a participant left,x,Wish I'd been able to play!,x
DE8LiqDxXyMDTs3K7,yes,yes,neutral,"Unfortunately I was unable to play the game since someone was disconnected, so my pay could have been higher, but I still think it was fair.",I was unable to play the game so N/A,n/a,N/A
HETvsnvE6HKdv5mER,yes,yes,neutral,"If I receive the base pay, then yes.","Someone disconnected at the start of this, so the study was immediately terminated for me. We never began chatting.","Yes, a partner disconnected at the very beginning, which terminated the study for all of us. Couldn't you just send other participants back to the lobby when this happens and pair them with someone else?",This study was terminated before I had a chance to participate.
GsXazheEWLkYZLQqv,yes,yes,stronglyAgree,Yeah it was a fun task and didn't take too long\nIf it took longer though with participants taking a long time then I would want more pay per hour,Very easy,Nope - was good fun!,Yes
ehFS23PQxCCDHHxyf,yes,no,agree,Yes,Yes,None,Not to chat also
WADiGpeAEgWDqGFda,yes,yes,neutral,Yes,Very - it would be helpful if you could see if your partners were typing. There were times were 2 players would claim the flower and click before the other had to time read that it was claimed.,NA,Plenty of Time!
7mbrv5hEFhfJjjB9e,yes,yes,stronglyAgree,Yes,Yes,No,Yes
fqKx97dXcBN6zt8gp,yes,no,stronglyAgree,"yes, any correct answers should be paid whatever is decided",yes a couple of times,no all seemed an interesting game,yes
Sz4iGenvGrCK8kEtT,yes,yes,stronglyAgree,yes,yes,nope!,more than enough
uxoyB5wDdjQuWKiq3,yes,yes,stronglyAgree,Yes.,Very easy to use.,No.,More than enough time.
ab6Htv2wyBH9h4u9G,yes,yes,stronglyAgree,yes until it crashed,yes,I was up to over 2$ extra when someone disconnected,plenty yes
EZhiHuDJHXZoSLhDe,yes,yes,agree,Yes.,I didn't attempt to use it as I felt pressured by the timer.,"Yes, I had a technical issue in one of the rounds. It didn't load and was just a blank white page. I went to message the researcher but thought I'd try refreshing in a new window and that worked. The other participants had used the chat feature while waiting on me.",Yes.
6tfvgNd3nKd8e8LPT,yes,yes,stronglyAgree,No - I do not like that I was disconnected in the final year!,"Yes, very.","I wish I wasn't disconnected in the final year, I felt my team mates and I were doing very well. Fun though!","Yes, definitely."
R2b3MuhDjL7XNdsbx,yes,yes,stronglyAgree,Yes,yes,no,yes
9spSSdtfY5HoAAzpA,yes,yes,stronglyAgree,"Yes, I felt the bonuses were good amounts and that I was fairly compensated for my time/efforts.","Yes, it felt like any standard chat box you'd find online.",No. All instructions were clear and easy to follow.,"Yes - we all seemed to make the decision quickly, and we never overlapped our choices."
cGXc9yZzKxhhprpcL,yes,no,stronglyAgree,yes.  everyone did the job correctly,yes,none  it was fun,yes
MA8mGcu88T7QesRGb,yes,yes,agree,NA,NA,NA,NA
5zTMxxhPBMzcECJ7s,yes,yes,neutral,I didn’t get to play :(,I didn’t get to play :(,NA,NA
78C7NB5i8EqKfRZpD,yes,yes,neutral,N/A,N/A,No problems found.,N/A
4B6Jh337dmfKfHQad,yes,no,neutral,"didnt let me play, study full","didnt let me play, study full","didnt let me play, study full","didnt let me play, study full"
