_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.chatUseful,data.feedback,data.time
fWruHWgfdpbPA5bK8,Xzwn3GeDhaYChyk6X,R6fYnby2HvssRxsAM,2021-07-20T17:17:52Z,21,Female,English,true,,,,,,bachelor,yes,yes,disagree,Yes,Yes,My players did not try and commuicate,Yes
9eRqnoD48i3MLwca8,Z4uGdog32wDhkwPjw,R6fYnby2HvssRxsAM,2021-07-20T17:18:14Z,23,Female,English,true,,,,,,bachelor,yes,yes,disagree,The pay was very fair ,The chat was very easy to use,,Enough time was given each round 
taJRajmPiY392xGg4,HattoicCD8RpvNp3x,R6fYnby2HvssRxsAM,2021-07-20T17:18:27Z,43,Male,English,true,,,,false,,someCollege,yes,no,agree,Yes,Yes,No,Yes
Gs2hCAS8hvK5NjeAS,pgdSEje8fK2EhyEAF,KiBJ5D2Gb56scHooG,2021-07-20T17:26:37Z,24,Female,British English,true,,,,,,master,yes,yes,neutral,yes,yes,no,yes
oc3QJiMcHM3z4qqFi,mQ4j9jv3oBQW9zdxE,KiBJ5D2Gb56scHooG,2021-07-20T17:26:45Z,36,Female,English,true,,,,,,someCollege,yes,yes,agree,Yes,Very easy ,None,Yes
fFCQNpoyEW7uZth6E,kq9vcpqmQwbkFB4sX,KiBJ5D2Gb56scHooG,2021-07-20T17:26:54Z,33,male,English,true,,,,,,someCollege,yes,yes,stronglyAgree,i think it was fair yes,yes it was very simple,no it was great,more than enough time
FbWo4Z3FR37vNzE5G,nzCnCnx4W9EDKLyEy,JvZjCtThY3iTsrXN5,2021-07-20T17:40:04Z,21,Female,English,true,,,,,,someCollege,yes,yes,stronglyAgree,"Definitely, ty! :)",Yep,NA,Perfect amount
qGjxYwj3DgXA4GLSf,WpuqGRTsiQfcFJHK9,JvZjCtThY3iTsrXN5,2021-07-20T17:40:18Z,47,Female,English,true,,,,,,bachelor,yes,yes,stronglyAgree,"The pay for the survey was not great, but hopefully the bonus will make up for it!",Very easy.,It was a lot of fun!,yes
i3QGme9vdoDLbE9vW,XR254nXRjwrveus4M,JvZjCtThY3iTsrXN5,2021-07-20T17:40:47Z,28,male,English,true,,,,,,bachelor,yes,yes,stronglyAgree,Yes I do,it was very straightforward!,I enjoyed this study!,more than enough time! We usually picked our flowers within the first minute
MFNjxqf5GXHgsJXoz,HatzPcAxQZHJgfvTp,ier2nCDT3gEyDmDuw,2021-07-20T18:22:46Z,55,female,english,true,,,,,,bachelor,yes,yes,agree,yes,yes,no,yes
cMTSd2FjbqTiADeGp,ZxbL2ksdEpEH3Rh8J,ier2nCDT3gEyDmDuw,2021-07-20T18:23:12Z,29,Male,English,true,true,,,,,bachelor,yes,yes,agree,The task took longer than it said I think I should get more pay...,Yes very easy,Nope,Yes
7QXPMhnWctqxEYsv5,5tF4pbeZsgwoLyBXN,ier2nCDT3gEyDmDuw,2021-07-20T18:23:24Z,23,Male,English,,true,,,,,someCollege,yes,yes,agree,Yes the pay was fair,"Yes, the chat was easy to use.",No problems. Great study,Yes plenty of time.
6YYg8dBeLW9dFH9jc,PbkFBSjSacP6FbmxN,hWc3fHAfD2kYNNQwd,2021-07-20T18:26:35Z,31,male,english,true,,,,,,highSchool,yes,yes,stronglyAgree,yes,yes,no,yes
qyMC5f8FD3m2iRFAe,CqGNYgwtJZcCtsyvF,hWc3fHAfD2kYNNQwd,2021-07-20T18:26:43Z,24,female ,english ,true,,,,,,highSchool,yes,yes,stronglyAgree,yes,yes,nope,yes
quGmekY5iNai5regt,Dj6hRMp5EBbw6J3hS,hWc3fHAfD2kYNNQwd,2021-07-20T18:29:28Z,33,female,English,true,,,,,,bachelor,yes,yes,agree,Yes,"Yes, very","I got timed out of lobby whilst waiting for players to join but researcher was very helpful and was told to refresh so I could continue study. I had to do quiz again but was told I'd receive $1 for my time. NO complaints, good and easy to follow for pilot study\n\n",Plenty of time
